SKU;Nombre del artículo;Precio (EUR);IVA (%);Descripción corta;Descripción completa;Volumen / Peso;Categoría;Tipo;Archivo de imagen;PayPal ID
ICD-MCO-001;ICD Moisture Cleansing Oil;40;21;Aceite limpiador hidratante · 145 ml;Un aceite sedoso de grado profesional diseñado para disolver suavemente el maquillaje y las impurezas. Su fórmula hidrata profundamente mientras limpia dejando un velo de suavidad incomparable. Ingredientes: Centella BYoungPool · Nanoliposomas.;145 ml / 4.90 fl. oz.;Limpieza;PHYSICAL;imagenes/ICD Moisture Cleansing Oil.jpg;7UAMLABWREAW6
ICD-CPW-002;Cleansing Powder Wash;35;21;Limpiador enzimático en polvo · 80 g;El secreto coreano para una textura refinada. Este limpiador enzimático en polvo se transforma en una espuma opulenta que purifica los poros y renueva la superficie cutánea con luminosidad renovada instantánea. Ingredientes: Enzimas purificantes · Microesferas exfoliantes.;80 g / 2.82 oz.;Limpieza;PHYSICAL;sin imagen — añadir foto;PENDIENTE
ICD-FP-003;ICD Dermatology First Package;109;21;Booster 130 ml + Sérum 45 ml · Pack Dúo;El dúo dinámico RIMAN para una regeneración celular intensiva. Dermatology Booster (130 ml): satura la piel de hidratación y prepara el camino para los activos. Dermatology Serum (45 ml): concentrado de alta potencia que penetra en capas profundas para restaurar la vitalidad. Ingredientes: Centella BYoungPool · Nanoliposomas.;Booster 130 ml + Sérum 45 ml;Tratamiento;PHYSICAL;imagenes/ICD Dermatology First Package.jpg;22Z9M475YYFNY
ICD-DC-004;ICD Dermatology Cream;72;21;Crema hidratante intensiva · 50 ml;Crema de hidratación intensiva que redefine el contorno facial y aporta densidad. Hidrata en profundidad mejora la textura y refuerza la protección natural de la piel. La más icónica de la colección ICD. Aplicar tras el sérum para sellar nutrientes. Ingredientes: Centella BYoungPool · Nanoliposomas.;50 ml / 1.69 fl. oz.;Tratamiento;PHYSICAL;imagenes/ICD Dermatology Cream.jpg;FR2YXL8L6W9FC
ICD-CBG-005;ICD Calming Balance Gel;39;21;Gel equilibrante y calmante · 100 ml;Bálsamo en gel que equilibra el pH cutáneo y calma las pieles más exigentes. Reduce rojeces e irritaciones aporta confort inmediato e hidratación profunda. Ideal para pieles reactivas o sensibles. Ingredientes: Centella BYoungPool · Oro 24k · Nanoliposomas.;100 ml / 3.38 fl. oz.;Tratamiento;PHYSICAL;imagenes/ICD Calming Balance Gel.jpg;TAKYKNK6XFRUC
ICD-CMM-006;ICD Collagen 100 Melting Mask;120;21;Mascarilla colágeno puro 800.000 ppm · 6 unidades;Lámina de colágeno puro (800.000 ppm) y colágeno hidrolizado (200.000 ppm) que se funde directamente en la dermis restaurando la elasticidad perdida. Ritual: 1) Limpiar y secar rostro. 2) Retirar tejido naranja y aplicar lámina blanca. 3) Pulverizar Oil Mist para activar la fusión. 4) Sellar con Dermatology Cream. Contiene 6 láminas individuales.;6 láminas / 6 sheets;Tratamiento;PHYSICAL;imagenes/ICD Collagen 100 Melting Mask.jpg;8S633X7WV7AX2
ICD-TOM-007;ICD Two-Phase Oil Mist;39;21;Bruma bifásica revitalizante · 50 ml;Bruma bifásica de aceite y agua que aporta resplandor instantáneo y protección hidratante en cualquier momento del día. Formulada con agua filtrada por lava volcánica de Jeju. Agitar antes de cada uso para activar la emulsión bifásica. Ingredientes: Agua Energética de Jeju · Nanoliposomas.;50 ml / 1.69 fl. oz.;Tratamiento;PHYSICAL;imagenes/ICD Two-Phase Oil Mist.jpg;TAKYKNK6XFRUC
ICD-MSB-008;ICD Multi Stick Balm;35;21;Bálsamo sólido multiusos · 9 g;Nutrición portátil de alta precisión para zonas críticas: contorno de ojos labios y líneas de expresión. El formato stick facilita una aplicación limpia y precisa. Hidratación intensiva en cualquier lugar y momento. Ingredientes: Centella BYoungPool · Nanoliposomas.;9 g / 0.31 oz.;Tratamiento;PHYSICAL;imagenes/ICD Multi Stick Balm.jpg;4UN874GXC7YU2
ICD-MLSP-009;Moisture Layer Sun Protector;38;21;Protector solar SPF50+ PA++++ · 50 ml;Protector solar premium de alta tecnología que actúa como capa de hidratación inteligente. Protección de amplio espectro SPF50+ PA++++ sin residuo blanco ni sensación grasa. Mantiene el acabado fresco y luminoso durante todo el día. Ideal como último paso del ritual matutino antes del maquillaje.;50 ml / 1.69 fl. oz.;Protección;PHYSICAL;sin imagen — añadir foto;PENDIENTE
ICD-SGB-010;Sheer Glow BB;35;21;BB Cream efecto glow · 30 g;El acabado Glow definitivo que completa la rutina ICD. Unifica el tono con una transparencia elegante proporcionando una apariencia saludable y radiante que respira con la piel. Cobertura ligera con efecto segunda piel. Ingredientes: Filtros solares de amplio espectro · Activos hidratantes.;30 g / 1.05 oz.;Protección;PHYSICAL;imagenes/Sheer Glow BB.jpg;FASYZZPDKCJD4
RIMAN-KTP-011;Kit Total RIMAN PRO;390;21;La rutina completa que lo hace todo · 11 productos;La experiencia definitiva para una transformación total de la piel. Incluye: Moisture Cleansing Oil (145 ml) + Cleansing Powder Wash (80 g) + Dermatology Booster (130 ml) + Dermatology Serum (45 ml) + Dermatology Cream (50 ml) + Calming Balance Gel (100 ml) + Collagen 100 Melting Mask x6 + Two-Phase Oil Mist (50 ml) + Multi Stick Balm (9 g) + Moisture Layer Sun Protector (50 ml) + Sheer Glow BB (30 g).;Pack 11 productos;Pack completo;PHYSICAL;imagenes/KIT TOTAL RIMAN PRO La rutina completaque lo hace todo..jpg;PENDIENTE
RIMAN-LOTE-012;Lote completo ICD Dermatology;295;21;Colección ICD completa · ahorra 194 €;Colección completa de ICD Dermatology. FASE 1 LIMPIEZA: Aceite Limpiador · Polvo Limpiador · Bruma Bifásica · Gel Calmante. FASE 2 HIDRATACIÓN: Crema Dermatológica · Sérum y Booster. FASE 3 PROTEGER: BB Glow · Bálsamo Stick · SPF50+ · Mascarilla Colágeno 100. Precio individual: 489 € — precio lote: 295 € — ahorro: 194 €.;Colección completa;Pack completo;PHYSICAL;imagenes/Lote completo imagenes/ICD Dermatology.jpg;LMZRFH2M7PVK4

